dt,is_long,R,R_cost,year,maturity
2022-09-09 11:15:00-07:00,True,0.5,0.49095541401273884,2022,-0.7649740139714036
2022-09-12 04:45:00-07:00,True,-1.0,-1.0236666666666667,2022,0.26807373990905137
2022-09-13 05:25:00-07:00,True,-1.0,-1.011639344262295,2022,0.9049184626165583
2022-09-19 10:25:00-07:00,True,0.5,0.49134146341463414,2022,-2.0490393209143636
2022-09-19 19:30:00-07:00,True,0.5,0.47295238095238096,2022,-2.0490393209143636
2022-09-21 07:30:00-07:00,True,0.5,0.4883127572016461,2022,-1.777311213588026
2022-09-25 15:25:00-07:00,True,0.5,0.4954920634920635,2022,-2.998172230402414
2022-10-03 03:50:00-07:00,True,1.5,1.4915476190476191,2022,-3.5569958812160474
2022-10-10 05:35:00-07:00,True,0.5,0.4848936170212766,2022,-3.115757007980222
2022-10-11 09:15:00-07:00,True,-1.0,-1.0043692307692307,2022,-3.517377810269506
2022-10-12 01:30:00-07:00,True,-1.0,-1.0118333333333334,2022,-3.3190623111363693
2022-10-16 18:50:00-07:00,True,1.5,1.480810810810811,2022,-3.5997310453449853
2022-10-17 12:45:00-07:00,True,1.5,1.4842222222222223,2022,-3.3826094642019506
2022-10-20 03:25:00-07:00,True,1.5,1.488502024291498,2022,-2.2260509491186387
2022-11-04 04:10:00-07:00,True,-1.0,-1.0221875,2022,-1.9454193581591879
2022-11-10 10:45:00-08:00,True,1.5,1.4882644628099173,2022,-1.3906852179446054
2022-11-15 04:20:00-08:00,True,1.5,1.4697872340425533,2022,1.9783035472616837
2022-11-17 19:35:00-08:00,True,-1.0,-1.0342168674698795,2022,1.795286036942302
2022-11-22 10:10:00-08:00,True,1.5,1.489034749034749,2022,1.1196893014342284
2022-11-22 11:25:00-08:00,True,1.5,1.4832941176470589,2022,1.1196893014342284
2022-12-01 11:50:00-08:00,True,-1.0,-1.014639175257732,2022,2.8013221138584066
2022-12-02 00:35:00-08:00,True,0.5,0.4645,2022,2.6231675443039624
2022-12-09 01:05:00-08:00,True,-1.0,-1.0359493670886075,2022,0.7748858838989693
2023-03-12 23:45:00-07:00,True,-1.0,-1.01986013986014,2023,0.11148904546118464
2023-03-15 10:55:00-07:00,True,1.5,1.493022113022113,2023,2.7429292353159216
2023-03-22 10:30:00-07:00,True,1.5,1.4791176470588234,2023,4.264146270695149
2023-03-23 02:15:00-07:00,True,-1.0,-1.0180891719745222,2023,3.7149825602940996
2023-03-30 04:45:00-07:00,True,0.5,0.48594059405940593,2023,4.066473703739897
2023-03-30 05:35:00-07:00,True,0.5,0.47345794392523366,2023,4.066473703739897
2023-03-31 12:55:00-07:00,True,-1.0,-1.0115447154471544,2023,4.401784651934054
2023-04-04 05:05:00-07:00,True,-1.0,-1.036883116883117,2023,4.8176343923872995
2023-04-24 07:25:00-07:00,True,-1.0,-1.0154347826086956,2023,2.052079286922907
2023-04-28 09:30:00-07:00,True,0.5,0.4905647840531561,2023,2.2713808049929196
2023-04-28 12:00:00-07:00,True,1.5,1.4763333333333333,2023,2.2713808049929196
2023-05-11 09:20:00-07:00,True,-1.0,-1.01986013986014,2023,1.986269091088389
2023-05-18 10:20:00-07:00,True,-1.0,-1.0156906077348067,2023,2.8553000162379045
2023-05-18 19:20:00-07:00,True,-1.0,-1.036883116883117,2023,2.8553000162379045
2023-05-21 19:45:00-07:00,True,0.5,0.43957446808510636,2023,3.705048383642984
2023-05-24 19:35:00-07:00,True,0.5,0.46311688311688315,2023,2.749210915079537
2023-05-26 02:25:00-07:00,True,0.5,0.482360248447205,2023,3.7625758165839973
2023-06-13 09:40:00-07:00,True,-1.0,-1.0156906077348067,2023,6.565591350907527
2023-06-14 16:20:00-07:00,True,-1.0,-1.071,2023,6.482537873827367
2023-06-28 18:20:00-07:00,True,-1.0,-1.0465573770491803,2023,3.815234676856133
2023-06-30 11:30:00-07:00,True,-1.0,-1.0267924528301886,2023,3.8211914387700614
2023-07-05 12:50:00-07:00,True,-1.0,-1.0110077519379845,2023,4.313314819605556
2023-07-07 08:40:00-07:00,True,0.5,0.4910410094637224,2023,3.411884492639294
2023-07-10 19:40:00-07:00,True,1.5,1.4563076923076923,2023,2.482703976782716
2023-07-13 02:55:00-07:00,True,0.5,0.47295238095238096,2023,3.99351226737183
2023-07-13 08:25:00-07:00,True,1.5,1.4857286432160803,2023,3.99351226737183
2023-07-13 18:45:00-07:00,True,0.5,0.4713131313131313,2023,3.99351226737183
2023-07-19 02:20:00-07:00,True,0.5,0.47394495412844034,2023,5.418960770656417
2023-07-28 08:00:00-07:00,True,-1.0,-1.0069099756690998,2023,2.1675535345573445
2023-08-01 12:35:00-07:00,True,-1.0,-1.027047619047619,2023,2.948886961106752
2023-08-14 12:15:00-07:00,True,1.5,1.4816774193548388,2023,-1.547128885142722
2023-08-14 18:50:00-07:00,True,-1.0,-1.0305376344086021,2023,-1.547128885142722
2023-08-22 02:25:00-07:00,True,-1.0,-1.0101428571428572,2023,-1.8018490514952727
2023-08-23 21:50:00-07:00,True,0.5,0.42717948717948717,2023,-1.6793567694313756
2023-08-28 20:00:00-07:00,True,1.5,1.4649382716049382,2023,-1.4974169872083525
2023-09-01 04:05:00-07:00,True,1.5,1.4694623655913979,2023,0.6870761358325911
2023-09-08 11:05:00-07:00,True,-1.0,-1.016608187134503,2023,-0.27759292100952937
2023-09-11 04:20:00-07:00,True,0.5,0.4750877192982456,2023,0.9121020998175355
2023-09-11 23:15:00-07:00,True,-1.0,-1.0378666666666667,2023,0.9121020998175355
