timestamp_utc,open,high,low,close,volume
2019-12-12T14:31:00+00:00,11713.5,11716.0,11709.0,11712.75,0
2019-12-12T14:32:00+00:00,11712.25,11717.5,11707.75,11717.25,0
2019-12-12T14:33:00+00:00,11717.75,11723.75,11710.0,11710.75,0
2019-12-12T14:34:00+00:00,11711.25,11711.5,11706.5,11706.5,0
2019-12-12T14:35:00+00:00,11706.5,11710.5,11703.0,11709.5,0
2019-12-12T14:36:00+00:00,11710.25,11728.5,11702.75,11727.75,0
2019-12-12T14:37:00+00:00,11728.0,11746.0,11724.75,11741.25,0
2019-12-12T14:38:00+00:00,11741.25,11751.5,11741.0,11744.5,0
2019-12-12T14:39:00+00:00,11744.0,11767.5,11743.25,11767.5,0
2019-12-12T14:40:00+00:00,11767.5,11785.25,11766.25,11777.25,0
2019-12-12T14:41:00+00:00,11777.75,11782.0,11770.5,11770.5,0
2019-12-12T14:42:00+00:00,11771.0,11771.5,11762.75,11763.5,0
2019-12-12T14:43:00+00:00,11764.75,11771.25,11759.25,11766.0,0
2019-12-12T14:44:00+00:00,11766.0,11769.5,11763.0,11767.75,0
2019-12-12T14:45:00+00:00,11767.25,11774.25,11767.25,11769.75,0
2019-12-12T14:46:00+00:00,11770.5,11776.0,11766.5,11766.5,0
2019-12-12T14:47:00+00:00,11766.75,11768.0,11762.5,11762.5,0
2019-12-12T14:48:00+00:00,11764.25,11772.75,11764.25,11766.75,0
2019-12-12T14:49:00+00:00,11766.75,11769.0,11764.25,11767.75,0
2019-12-12T14:50:00+00:00,11767.0,11770.25,11767.0,11769.25,0
2019-12-12T14:51:00+00:00,11768.75,11774.5,11768.5,11771.75,0
2019-12-12T14:52:00+00:00,11772.0,11775.5,11771.0,11775.25,0
2019-12-12T14:53:00+00:00,11775.75,11778.5,11774.0,11774.75,0
2019-12-12T14:54:00+00:00,11773.75,11778.75,11773.25,11776.25,0
2019-12-12T14:55:00+00:00,11775.75,11778.25,11772.75,11777.75,0
2019-12-12T14:56:00+00:00,11778.0,11781.25,11773.5,11775.75,0
2019-12-12T14:57:00+00:00,11775.25,11779.25,11774.5,11777.0,0
2019-12-12T14:58:00+00:00,11776.5,11779.75,11773.25,11778.75,0
2019-12-12T14:59:00+00:00,11779.25,11780.75,11777.75,11780.0,0
2019-12-12T15:00:00+00:00,11780.0,11785.75,11780.0,11785.5,0
2019-12-12T15:01:00+00:00,11785.75,11796.0,11785.75,11794.75,0
2019-12-12T15:02:00+00:00,11795.0,11803.0,11794.0,11801.0,0
2019-12-12T15:03:00+00:00,11802.0,11802.0,11793.5,11797.5,0
2019-12-12T15:04:00+00:00,11798.0,11810.0,11796.5,11809.25,0
2019-12-12T15:05:00+00:00,11809.75,11810.0,11793.0,11807.25,0
