dt,is_long,R,R_cost,year,session
2025-04-11 05:25:00-07:00,False,-1.0,-1.041159420289856,2025,LONDON
2025-04-14 07:40:00-07:00,True,-1.0,-1.0119831223628692,2025,NY
2025-04-24 15:40:00-07:00,True,-1.0,-1.0423880597014923,2025,ASIA
2025-04-25 05:05:00-07:00,False,-1.0,-1.0507142857142866,2025,LONDON
2025-04-25 12:05:00-07:00,True,-1.0,-1.017639751552795,2025,NY
2025-05-21 12:55:00-07:00,False,0.5,0.49275510204081635,2025,NY
2025-06-04 08:45:00-07:00,False,-1.0,-1.0507142857142866,2025,NY
2025-07-18 12:00:00-07:00,False,-1.0,-1.0417647058823518,2025,NY
2025-09-26 11:00:00-07:00,True,0.5,0.4804137931034489,2025,NY
2025-10-09 09:40:00-07:00,False,0.5,0.4610958904109599,2025,NY
2025-11-26 10:15:00-08:00,True,1.5,1.4901045296167248,2025,NY
2025-12-02 12:40:00-08:00,False,1.5,1.43957446808511,2025,NY
2025-12-03 07:05:00-08:00,True,1.5,1.4865402843601898,2025,NY
2025-12-08 09:40:00-08:00,False,0.5,0.46844444444444605,2025,NY
2025-12-18 07:00:00-08:00,True,0.5,0.4897472924187725,2025,NY
2026-01-07 10:45:00-08:00,False,-1.0,-1.02272,2026,NY
2026-02-04 05:35:00-08:00,True,-1.0,-1.0319101123595502,2026,LONDON
2026-02-05 04:05:00-08:00,True,-1.0,-1.038378378378378,2026,LONDON
2026-02-19 05:25:00-08:00,False,1.5,1.4661904761904765,2026,LONDON
2026-03-03 02:55:00-08:00,False,-1.0,-1.0202857142857136,2026,LONDON
2026-03-03 21:05:00-08:00,False,-1.0,-1.0342168674698788,2026,ASIA
2026-03-06 11:05:00-08:00,False,1.5,1.4765289256198355,2026,NY
2026-03-11 11:10:00-07:00,False,-1.0,-1.0216793893129772,2026,NY
2026-03-13 06:20:00-07:00,True,0.5,0.4645,2026,LONDON
2026-03-18 11:35:00-07:00,False,1.5,1.48054794520548,2026,NY
2026-03-19 11:55:00-07:00,True,1.5,1.483583815028902,2026,NY
2026-06-03 07:20:00-07:00,False,-1.0,-1.0148691099476437,2026,NY
2026-06-18 03:15:00-07:00,True,-1.0,-1.0240677966101692,2026,LONDON
2026-07-13 15:55:00-07:00,False,0.5,0.4576119402985092,2026,ASIA
2026-07-13 19:55:00-07:00,False,-1.0,-1.029278350515463,2026,ASIA
2026-07-30 06:50:00-07:00,True,-1.0,-1.0308695652173905,2026,NY
2026-08-03 10:40:00-07:00,True,1.5,1.4653658536585359,2026,NY
2026-08-06 12:25:00-07:00,False,0.5,0.4541935483870988,2026,NY
