dt,is_long,mae,mfe,session,won_0.25,won_0.50,won_0.75,won_1.00,year
2022-09-19 10:25:00-07:00,True,1.0,1.9969512195121952,NY,True,True,True,True,2022
2022-09-19 19:30:00-07:00,True,1.0,1.2095238095238094,ASIA,True,True,True,True,2022
2022-09-25 15:25:00-07:00,True,1.0,1.1666666666666667,ASIA,True,True,True,True,2022
2022-10-04 21:55:00-07:00,False,0.8,2.17,ASIA,True,True,True,True,2022
2022-10-05 03:20:00-07:00,False,1.0,0.075,LONDON,False,False,False,False,2022
2022-10-10 21:20:00-07:00,False,1.0,0.47058823529411764,ASIA,True,False,False,False,2022
2022-10-16 18:50:00-07:00,True,0.6891891891891891,2.189189189189189,ASIA,True,True,True,True,2022
2022-10-20 03:25:00-07:00,True,0.020242914979757085,2.1093117408906883,LONDON,True,True,True,True,2022
2022-10-21 03:35:00-07:00,False,1.0,0.06837606837606838,LONDON,False,False,False,False,2022
2022-10-23 22:55:00-07:00,False,1.0,1.6125461254612545,ASIA,True,True,True,True,2022
2022-10-31 06:20:00-07:00,False,0.4897959183673469,2.020408163265306,LONDON,True,True,True,True,2022
2022-11-04 04:10:00-07:00,True,1.0,0.296875,LONDON,True,False,False,False,2022
2022-11-17 08:10:00-08:00,False,1.0,0.05862068965517241,NY,False,False,False,False,2022
2023-03-12 23:45:00-07:00,True,1.0,0.6363636363636364,ASIA,True,True,False,False,2023
2023-03-13 04:45:00-07:00,False,0.39197530864197533,2.049382716049383,LONDON,True,True,True,True,2023
2023-03-15 11:20:00-07:00,True,0.1036036036036036,2.1666666666666665,NY,True,True,True,True,2023
2023-03-23 02:15:00-07:00,True,1.0,0.03821656050955414,LONDON,False,False,False,False,2023
2023-04-19 05:05:00-07:00,False,1.0,0.6020408163265306,LONDON,True,True,False,False,2023
2023-04-24 07:25:00-07:00,True,1.0,0.07065217391304347,NY,False,False,False,False,2023
2023-04-25 10:15:00-07:00,False,1.0,1.1389728096676737,NY,True,True,True,True,2023
2023-04-28 00:15:00-07:00,False,1.0,0.550561797752809,LONDON,True,True,False,False,2023
2023-04-28 09:30:00-07:00,True,1.0,1.5083056478405317,NY,True,True,True,True,2023
2023-04-28 12:45:00-07:00,True,1.0,1.7218934911242603,NY,True,True,True,True,2023
2023-05-18 19:20:00-07:00,True,1.0,0.5714285714285714,ASIA,True,True,False,False,2023
2023-05-19 08:30:00-07:00,False,1.0,1.0,NY,True,True,True,True,2023
2023-05-26 02:25:00-07:00,True,0.39751552795031053,2.0,LONDON,True,True,True,True,2023
2023-05-29 18:20:00-07:00,False,1.0,0.4230769230769231,ASIA,True,False,False,False,2023
2023-06-04 20:45:00-07:00,False,1.0,0.7567567567567568,ASIA,True,True,True,False,2023
2023-06-13 09:40:00-07:00,True,1.0,0.7513812154696132,NY,True,True,True,False,2023
2023-06-14 16:20:00-07:00,True,1.0,0.0,ASIA,False,False,False,False,2023
2023-06-26 12:45:00-07:00,False,1.0,0.9896907216494846,NY,True,True,True,False,2023
2023-07-05 12:50:00-07:00,True,1.0,0.0,NY,False,False,False,False,2023
2023-07-10 19:40:00-07:00,True,0.7692307692307693,2.292307692307692,ASIA,True,True,True,True,2023
2023-07-13 02:55:00-07:00,True,0.6,2.0285714285714285,LONDON,True,True,True,True,2023
2023-07-13 08:25:00-07:00,True,0.2864321608040201,2.090452261306533,NY,True,True,True,True,2023
2023-07-13 18:45:00-07:00,True,0.6868686868686869,2.080808080808081,ASIA,True,True,True,True,2023
2023-07-19 02:20:00-07:00,True,0.6697247706422018,2.0,LONDON,True,True,True,True,2023
2023-07-26 06:25:00-07:00,False,0.8529411764705882,2.019607843137255,LONDON,True,True,True,True,2023
2023-07-31 09:15:00-07:00,False,1.0,0.9757575757575757,NY,True,True,True,False,2023
2023-07-31 12:35:00-07:00,False,1.0,0.4431137724550898,NY,True,False,False,False,2023
2023-08-23 05:55:00-07:00,False,1.0,0.0968586387434555,LONDON,False,False,False,False,2023
2023-08-23 21:50:00-07:00,True,1.0,1.9743589743589745,ASIA,True,True,True,True,2023
2023-08-24 20:10:00-07:00,False,0.8804347826086957,2.4239130434782608,ASIA,True,True,True,True,2023
2023-08-28 20:00:00-07:00,True,0.1111111111111111,2.0864197530864197,ASIA,True,True,True,True,2023
2023-09-01 10:45:00-07:00,False,1.0,0.6335403726708074,NY,True,True,False,False,2023
2023-09-04 23:05:00-07:00,False,0.3108108108108108,2.054054054054054,ASIA,True,True,True,True,2023
2023-09-11 04:20:00-07:00,True,1.0,1.956140350877193,LONDON,True,True,True,True,2023
2023-09-21 16:05:00-07:00,False,1.0,1.1594202898550725,ASIA,True,True,True,True,2023
